Team 1,Score,Team 2,Score,Date,Video ID
Los_Angeles_Clippers,113,Golden_State_Warriors,123,2/23/17, klbUtjRfbA0
Houston_Rockets,129,New_Orleans_Pelicans,99,2/23/17, z2IX2sg8BlA
New_York_Knicks,104,Cleveland_Cavaliers,119,2/23/17, w1jMR732XdM
Team_EAST,,Team_WEST,,2/19/17, RllGs6GWwsI
Boston_Celtics,103,Chicago_Bulls,104,2/16/17, BRt5DR8T7Tc
Sacramento_Kings,86,Golden_State_Warriors,109,2/15/17, UdJJtZScv0A
Cleveland_Cavaliers,116,Minnesota_Timberwolves,108,2/14/17, r1ZWLmb4a2U
Golden_State_Warriors,110,Denver_Nuggets,132,2/13/17, hcjguHTsldg
Boston_Celtics,111,Dallas_Mavericks,98,2/13/17, gCZFtAIB4N4
San_Antonio_Spurs,110,Indiana_Pacers,106,2/13/17, ZZdkOmCjmso
Chicago_Bulls,89,Minnesota_Timberwolves,117,2/12/17, aUkN61x60gs
San_Antonio_Spurs,90,New_York_Knicks,94,2/12/17, lQj0jbWy5xM
Golden_State_Warriors,130,Oklahoma_City_Thunder,114,2/11/17, obmRMQlqKAs
Denver_Nuggets,109,Cleveland_Cavaliers,125,2/11/17, bHQ4Av1NsLU
Chicago_Bulls,97,Phoenix_Suns,115,2/10/17, Dpm1NZ4XuKU
Los_Angeles_Lakers,122,Milwaukee_Bucks,114,2/10/17, Y4cjS5m-jo0
Golden_State_Warriors,122,Memphis_Grizzlies,107,2/10/17, TqFr8R6HmpU
San_Antonio_Spurs,103,Detroit_Pistons,92,2/10/17, RdFyox32Puc
Cleveland_Cavaliers,109,Oklahoma_City_Thunder,118,2/9/17, 41FzSRyjuKc
Houston_Rockets,107,Charlotte_Hornets,95,2/9/17, 2K-O6TVHDUY
Boston_Celtics,92,Sacramento_Kings,108,2/8/17, jIxhRWwfXvA
Chicago_Bulls,92,Golden_State_Warriors,123,2/8/17, hl9_aFWbByU
Miami_Heat,106,Milwaukee_Bucks,88,2/8/17, 7JYkwWeryWc
Cleveland_Cavaliers,132,Indiana_Pacers,117,2/8/17, elwDhbpRn6Q
Orlando_Magic,104,Houston_Rockets,128,2/7/17, 2IeYIfNUJnQ
Brooklyn_Nets,107,Charlotte_Hornets,111,2/7/17, 8ad1u7iZpnA
San_Antonio_Spurs,74,Memphis_Grizzlies,89,2/6/17, lotnBN8uvCc
Cleveland_Cavaliers,140,Washington_Wizards,135,2/6/17, 5CIEQiy85YI
Los_Angeles_Lakers,121,New_York_Knicks,107,2/6/17, ic1ArVmlx94
Golden_State_Warriors,106,Sacramento_Kings,109,2/4/17, Aevzj2vO4B4
Denver_Nuggets,97,San_Antonio_Spurs,121,2/4/17, PRdG5JnlZsA
Cleveland_Cavaliers,111,New_York_Knicks,104,2/4/17, bLDVvzMw6oo
Chicago_Bulls,117,Houston_Rockets,121,2/3/17, huuaM3d6uN0
Los_Angeles_Lakers,107,Boston_Celtics,113,2/3/17, aKtV3UaCtHU
Golden_State_Warriors,133,Los_Angeles_Clippers,120,2/2/17, f8-tnlyociA
Philadelphia_76ers,86,San_Antonio_Spurs,102,2/2/17, A6v66bnL1Ys
Los_Angeles_Lakers,108,Washington_Wizards,116,2/2/17, y7DOrRxRTtY
Charlotte_Hornets,111,Golden_State_Warriors,126,2/1/17, 5pvmA4_ZRGM
Minnesota_Timberwolves,97,Cleveland_Cavaliers,125,2/1/17, ewTTjTsw244
Oklahoma_City_Thunder,94,San_Antonio_Spurs,108,1/31/17, jLThdGMMnes
Sacramento_Kings,83,Houston_Rockets,105,1/31/17, 47BjnWn6IyY
Detroit_Pistons,109,Boston_Celtics,113,1/30/17, pMh0NuT0uXg
Cleveland_Cavaliers,97,Dallas_Mavericks,104,1/30/17, VFXpmxC5ZTU
Golden_State_Warriors,113,Portland_Trail_Blazers,111,1/29/17, -17L5yzhjpc
Oklahoma_City_Thunder,91,Cleveland_Cavaliers,107,1/29/17, bNMruSQqJK8
Boston_Celtics,112,Milwaukee_Bucks,108,1/28/17, 03PpnYFlty4
Los_Angeles_Clippers,98,Golden_State_Warriors,144,1/28/17, Qgf_ShDyMRU
Orlando_Magic,98,Boston_Celtics,128,1/27/17, yX_eVbEcqe8
San_Antonio_Spurs,103,New_Orleans_Pelicans,119,1/27/17, XYXQavn6_XE
Brooklyn_Nets,116,Cleveland_Cavaliers,124,1/27/17, o_eKtCfxEog
Los_Angeles_Lakers,88,Utah_Jazz,96,1/26/17, 38Ae0cgSsVE
Indiana_Pacers,109,Minnesota_Timberwolves,103,1/26/17, THYm1llfBwg
Boston_Celtics,108,Washington_Wizards,123,1/24/17, PouwxBLpMhw
San_Antonio_Spurs,108,Toronto_Raptors,106,1/24/17, Wr2ClLPC4xY
San_Antonio_Spurs,112,Brooklyn_Nets,86,1/23/17, i448sIYT-V8
Cleveland_Cavaliers,122,New_Orleans_Pelicans,124,1/23/17, 7hvEK3o3oSs
Golden_State_Warriors,102,Miami_Heat,105,1/23/17, ehVTDhfrkj0
Houston_Rockets,119,Memphis_Grizzlies,95,1/21/17, z6emwuLmAx0
San_Antonio_Spurs,118,Cleveland_Cavaliers,115,1/21/17, cPGmseKWjWY
Milwaukee_Bucks,97,Miami_Heat,109,1/21/17, Yvwkij38kls
Portland_Trail_Blazers,127,Boston_Celtics,123,1/21/17, clYLCo0FyUk
Indiana_Pacers,96,Los_Angeles_Lakers,108,1/20/17, ahb8GN1NPPo
Golden_State_Warriors,125,Houston_Rockets,108,1/20/17, UbsPK8iQEhw
Milwaukee_Bucks,96,Orlando_Magic,112,1/20/17, Oy6KWlxAxNg
Denver_Nuggets,104,San_Antonio_Spurs,118,1/19/17, bVEILr4JLtk
Phoenix_Suns,103,Cleveland_Cavaliers,118,1/19/17, tjQRC2MxuN0
Oklahoma_City_Thunder,100,Golden_State_Warriors,121,1/18/17, DaLl64W5Afw
Milwaukee_Bucks,92,Houston_Rockets,111,1/18/17, C--ET5v5huA
New_York_Knicks,117,Boston_Celtics,106,1/18/17, B46eOPC3eyQ
Denver_Nuggets,127,Los_Angeles_Lakers,121,1/17/17, jiGz-GMKmA4
Minnesota_Timberwolves,114,San_Antonio_Spurs,122,1/17/17, xxge_PTnq9k
Dallas_Mavericks,99,Chicago_Bulls,98,1/17/17, 1qkX18AEgwA
Houston_Rockets,103,Miami_Heat,109,1/17/17, wz-t9u5e3ME
Oklahoma_City_Thunder,98,Los_Angeles_Clippers,120,1/16/17, S6AP1NOIpgk
Cleveland_Cavaliers,91,Golden_State_Warriors,126,1/16/17, 93qRmApzAT8
Charlotte_Hornets,98,Boston_Celtics,108,1/16/17, 88Ds3htwNCs
Cleveland_Cavaliers,91,Golden_State_Warriors,126,1/16/17, RgT8-_OXp24
Detroit_Pistons,102,Los_Angeles_Lakers,97,1/15/17, IM_SM_wowfo
Oklahoma_City_Thunder,122,Sacramento_Kings,118,1/15/17, 9XE-A6w9sBA
Chicago_Bulls,108,Memphis_Grizzlies,104,1/15/17, 99Z7NPTsjis
Houston_Rockets,137,Brooklyn_Nets,112,1/15/17, xgxMGpcMEyM
San_Antonio_Spurs,105,Phoenix_Suns,108,1/14/17, 8ZTUfBYFYkg
Los_Angeles_Lakers,97,Los_Angeles_Clippers,113,1/14/17, LCaYJ4HVWJw
Memphis_Grizzlies,110,Houston_Rockets,105,1/13/17, 2CxI-I6KW5M
Oklahoma_City_Thunder,86,Minnesota_Timberwolves,96,1/13/17, rAdkkvFKihY
Detroit_Pistons,107,Golden_State_Warriors,127,1/12/17, 2IRVxWoAYF8
Los_Angeles_Lakers,94,San_Antonio_Spurs,134,1/12/17, x2gBpe0oZkA
Chicago_Bulls,89,New_York_Knicks,104,1/12/17, B5x_e4elmDU
Cleveland_Cavaliers,86,Portland_Trail_Blazers,102,1/11/17, P-lINngfQQA
Miami_Heat,95,Golden_State_Warriors,107,1/10/17, CBRCx8CmlVw
Cleveland_Cavaliers,92,Utah_Jazz,100,1/10/17, ldz9I8aVWfM
Milwaukee_Bucks,109,San_Antonio_Spurs,107,1/10/17, mSpG8y-8a1k
Boston_Celtics,106,Toronto_Raptors,114,1/10/17, 0EsjI3JqnYU
New_Orleans_Pelicans,110,New_York_Knicks,96,1/9/17, 5__4DTfZ0BU
Orlando_Magic,95,Los_Angeles_Lakers,111,1/8/17, P_DdbmtKaps
Golden_State_Warriors,117,Sacramento_Kings,106,1/8/17, 1bgTMiLpTKk
Cleveland_Cavaliers,120,Phoenix_Suns,116,1/8/17, Sg1axtmZYCg
Houston_Rockets,129,Toronto_Raptors,122,1/8/17, WC85LW6r1PE
Charlotte_Hornets,85,San_Antonio_Spurs,102,1/7/17, kG-BfC5uIkQ
Toronto_Raptors,118,Chicago_Bulls,123,1/7/17, 7s0hVKwtjTI
Denver_Nuggets,106,Oklahoma_City_Thunder,121,1/7/17, gcJqBvIlMmE
Miami_Heat,100,Los_Angeles_Lakers,127,1/6/17, ZSEA9Jkb0po
Memphis_Grizzlies,128,Golden_State_Warriors,119,1/6/17, eOFVORC2XJ4
New_York_Knicks,116,Milwaukee_Bucks,111,1/6/17, craSjm19fHw
Cleveland_Cavaliers,116,Brooklyn_Nets,108,1/6/17, AQtrUAc5FOs
Los_Angeles_Lakers,109,Portland_Trail_Blazers,118,1/5/17, gI14F66RR2Q
San_Antonio_Spurs,127,Denver_Nuggets,99,1/5/17, EqywXyAr9qc
Oklahoma_City_Thunder,116,Houston_Rockets,118,1/5/17, NvUnULMCJwk
Memphis_Grizzlies,106,Los_Angeles_Clippers,115,1/4/17, GV4NVJ49FfU
Portland_Trail_Blazers,117,Golden_State_Warriors,125,1/4/17, K3WMe28xLCY
