homeTeam,homeTeamScore,awayTeam,awayTeamScore,videoID,datePlayed
Boston Celtics,108,Washington Wizards,123, PouwxBLpMhw,1/24/17
San Antonio Spurs,108,Toronto Raptors,106, Wr2ClLPC4xY,1/24/17
San Antonio Spurs,112,Brooklyn Nets,86, i448sIYT-V8,1/23/17
Cleveland Cavaliers,122,New Orleans Pelicans,124, 7hvEK3o3oSs,1/23/17
Golden State Warriors,102,Miami Heat,105, ehVTDhfrkj0,1/23/17
Houston Rockets,119,Memphis Grizzlies,95, z6emwuLmAx0,1/21/17
San Antonio Spurs,118,Cleveland Cavaliers,115, cPGmseKWjWY,1/21/17
Milwaukee Bucks,97,Miami Heat,109, Yvwkij38kls,1/21/17
Portland Trail Blazers,127,Boston Celtics,123, clYLCo0FyUk,1/21/17
Indiana Pacers,96,Los Angeles Lakers,108, ahb8GN1NPPo,1/20/17
Golden State Warriors,125,Houston Rockets,108, UbsPK8iQEhw,1/20/17
Milwaukee Bucks,96,Orlando Magic,112, Oy6KWlxAxNg,1/20/17
Denver Nuggets,104,San Antonio Spurs,118, bVEILr4JLtk,1/19/17
Phoenix Suns,103,Cleveland Cavaliers,118, tjQRC2MxuN0,1/19/17
Oklahoma City Thunder,100,Golden State Warriors,121, DaLl64W5Afw,1/18/17
Milwaukee Bucks,92,Houston Rockets,111, C--ET5v5huA,1/18/17
New York Knicks,117,Boston Celtics,106, B46eOPC3eyQ,1/18/17
Denver Nuggets,127,Los Angeles Lakers,121, jiGz-GMKmA4,1/17/17
Minnesota Timberwolves,114,San Antonio Spurs,122, xxge_PTnq9k,1/17/17
Dallas Mavericks,99,Chicago Bulls,98, 1qkX18AEgwA,1/17/17
Houston Rockets,103,Miami Heat,109, wz-t9u5e3ME,1/17/17
Oklahoma City Thunder,98,Los Angeles Clippers,120, S6AP1NOIpgk,1/16/17
Cleveland Cavaliers,91,Golden State Warriors,126, 93qRmApzAT8,1/16/17
