Team1,Score1,Team2,Score2,video link,date,title
Manchester United,,Middlesbrough,,ceLw9g0rrms,1/2/17,Manchester United come back to beat Middlesbrough
Liverpool,,Crystal Palace,,R3YqoBnA3Dw,1/2/17,Wijnaldum's goal helps Liverpool to ugly win over Manchester City
Hull City,2,Everton,2,4YmYvYOkki8,12/30/16,"Hull City held a 2-1 lead late in the second half, but Ross Barkley's late equalizer secured a point for the Toffees."
Tottenham,,Southampton,,hHFiYz0ezVw,12/29/16,Dele Alli sparks Tottenham rout of Southampton
Liverpool,,Stoke City,,NCLTGPuZVI0,12/28/16,Liverpool score four unanswered goal to beat Stoke
Manchester City,,Hull City,,QxiM1Zv9k6s,12/26/16,Toure  Iheanacho spark Man City's second half dominance vs. Hull City
West Ham,,Swansea City,,BCCHOI2Pcds,12/26/16,West Ham hammer Swansea City 4-1
Arsenal,,West Brom,,PNNmm_gZmg4,12/26/16,Olivier Giroud's late goal gives Arsenal the win over West Brom
Burnley,,Middlesbrough,,VHRt0GfVuc0,12/26/16,Andre Gray's late goal pushes Burnley past Middlesbrough
Everton,,Leicester City,,Zvqqd7xeYLU,12/26/16,Everton use strong second half to beat Leicester City
Manchester United,,Sunderland,,s8Xa4wAJqSQ,12/26/16,Manchester United continue to roll with 3-1 win over Sunderland
Watford,,Crystal Palace,,Zehg_I6WuJo,12/26/16,Watford  Crystal Palace play to 1-1 draw on Boxing Day
Chelsea,,Bournemouth,,q7jgFM63VQA,12/26/16,Chelsea thump Bournemouth for 12th straight win
Liverpool,,Everton,,170quwYWEgY,12/20/16,Liverpool escape Merseyside derby with win over Everton
Swansea City,,Middlesbrough,,viDz9Smh8oo,12/18/16,Swansea City no match for Middlesbrough in 3-0 defeat
Chelsea,,Crystal Palace,,48L_9lbPfAw,12/18/16,Chelsea beat Crystal Palace for 11th straight win
West Ham,,Hull City,,aQ2r993ploY,12/18/16,Mark Noble's penalty kick goal helps West Ham past Hull City
Manchester United,,West Brom,,zQE5oLpHKEI,12/18/16,Zlatan Ibrahimovic scores two goals as Manchester United best West Brom
Leicester City,,Stoke City,,wIaWaUppyB4,12/18/16,10-man Leicester City comeback to earn 2-2 draw v. Stoke City
Watford,,Sunderland,,7ar7aa9Fm_A,12/18/16,Sunderland top Watford in 1-0 win
Southampton,,Bournemouth,,odb7-O4DtOo,12/18/16,Jay Rodriguez's brace leads Southampton past Bournemouth
Tottenham,,Burnley,,TC_IDhJN_zk,12/18/16,Dele Alli  Danny Rose score as Tottenham beat Burnley 2-1
Arsenal,,Crystal Palace,,ypuoN0Rm3o4,12/18/16,Dominant second half helps Manchester City beat Arsenal 2-1
Burnley,,West Ham,,wOkltfvxwiM,12/15/16,West Ham edge Burnley 1-0 for pivotal win
Southampton,,Stoke City,,KK6cWIZv6wY,12/15/16,Stoke City  Southampton play to scoreless draw
Tottenham,,Hull City,,MJS-sxqTveg,12/15/16,Tottenham trounce Hull City 3-0
West Brom,,Swansea City,,rV_b9dtEwWI,12/15/16,Salomon Rondon's hat trick leads West Brom past Swansea City
Manchester United,,Crystal Palace,,vRWc_a4gKIk,12/15/16,Zlatan Ibrahimovic's late goal helps Manchester United past Crystal Palace
Watford,,Crystal Palace,,UaHmLnUVHQo,12/15/16,Manchester City too much for Watford in 2-0 win
Liverpool,,Middlesbrough,,qUjYGUZbLkQ,12/15/16,Liverpool dismantle Middlesbrough in 3-0 win
Chelsea,,Sunderland,,yHJHM72O_eA,12/15/16,Chelsea top Sunderland  wins 10th straight
Arsenal,,Everton,,yuvBGnBWsfg,12/14/16,Ashley Williams provides late winner as Everton top Arsenal
Bournemouth,,Leicester City,,N-UsBSiXc3A,12/13/16,Bournemouth hold on to top Leicester City 1-0
Liverpool,,West Ham,,ZTBES2Tc54s,12/11/16,Liverpool draw 2-2 with West Ham
Southampton,,Middlesbrough,,Aal2cOmxwd8,12/11/16,Southampton clip Middlesbrough for win
Tottenham,,Manchester United,,H5QoneNMBy0,12/11/16,Henrikh Mkhitaryan's goal helps Manchester United beat Tottenham
